ID,Q15,Major Classification,Minor Classification,Positive topics,Negative topics,Unnamed: 6,QualityScore,QualityScoreComment
1999,흥미로움,광고 임팩트,강한 임팩트,흥미로움,,,5,-
4498,이유 없음,없음/모름,,,,,2,불충분한 정보
1783,상품에 대한 자세한 설명을 하는 모델과 배경 음악이 대체로 잘 어울렸다,광고 구성,긍정적 평가,모델|배경 음악,,,4,-
4733,음악과 캐릭터가 좋다,음악/사운드,긍정적 평가,음악|캐릭터,,,4,-
8253,흥미롭지 않다,광고 임팩트,약한 임팩트,,흥미,,3,카테고리 불일치
7444,제품에 대한 설명이 명확하고 깔끔해서,메시지/카피,이해도 높음,설명|명확성,,,4,-
2342,활기차고 믿음이 간다,전반적 평가,긍정적,활기|믿음,,,4,-
7266,광고 자체를 좋아하지 않음,광고 전반,부정적,,광고,,3,카테고리 불일치
700,배경이 좋다,비주얼,배경,배경,,,4,-
5887,모델 김태리와 안타피카의 멋진 배경이 잘 어우러진다,광고 구성,긍정적 평가,모델|배경,,,5,-
3108,모델이 예쁘다,모델,호감도 높음,예쁨,,,4,-
2125,이런 광고 문구가 흔한 느낌,메시지/카피,독창성,없음,흔한 느낌,,3,카테고리 불명확
3568,안유진이 네파와 잘 어울리고 배경화면이 예쁘다,모델,호감도 높음,안유진|네파,,,4,-
4776,귀엽고 사랑스러움,감성 소구,긍정적,귀여움|사랑스러움,,,4,-
55,녹색녹색해서 좋음,비주얼,색감,녹색,,,4,-
3071,특별한 느낌 없음,광고 전반,평범함,,특별한 느낌 없음,,3,카테고리 불충분
678,편안한 느낌이 든다,감성 소구,긍정적,편안한 느낌,,,5,-
4950,아이더,Not enough data,Not enough data,,,,2,데이터 부족
8330,광고의 효과가 의심될 정도로 내용이 없음,광고 임팩트,약한 임팩트,내용,효과,,3,부정적 주제 오류
2495,수지와 브랜드가 잘 어울린다,모델,호감도 높음,수지|브랜드 어울림,,,4,-
3865,깨끗하고 하얀풍경 모델 안유진,비주얼,배경,풍경|안유진,,,4,-
7523,모델이 마음에 들어서,모델,호감도 높음,모델,,,4,-
7562,시선을 끄는 내용이 없다,광고 임팩트,약한 임팩트,,시선|내용,,3,부정적 주제 불명확
966,기억에 남지 않는다,광고 전반,기억에 남지 않음,,기억,,3,부정적 주제 불명확
710,공감이 가는 부분이긴 합니다만 획기적이고 드라마틱한건 아닌것 같습니다,광고 전반,중립적,공감,획기적이지 않음|드라마틱하지 않음,,3,라벨링이 부정확함
4420,모델,Not enough data,Not enough data,,,,3,데이터 부족
2005,산에서도 도시에서도 완벽 문구,메시지/카피,공감도 높음,완벽|산|도시,,,4,-
6689,휘슬라이저에 대해 몰라서,광고 전반,기억에 남지 않음,휘슬라이저,,,3,광고 전반과 불일치
823,시원함,Not enough data,Not enough data,,,,3,데이터 부족
8678,제품 특징이 이해됨,메시지/카피,이해도 높음,제품 특징,,,4,-
8161,벅차오르다는 표현이 왠지 끌린다,감성 소구,긍정적,벅차오름,,,4,-
9650,광고내용이 공감도를 높혀주고 어떤 길을 가더라도 편안하게 갈수 있을것 같고 전문성이 느껴지고 아웃도어 제품으로 적합할것 같아 마음에 듭니다.,감성 소구,긍정적,공감도|편안함|전문성,,,4,-
4963,모델이 너무 예쁘다,모델,호감도 높음,예쁨,,,4,-
1687,박보검,Not enough data,Not enough data,,,,2,데이터 부족
9229,모델과잘어울린다,모델,호감도 높음,모델|어울림,,,4,-
4500,추위를 이겨낼 것 같다,기능성 강조,보온성,추위,,,4,-
8991,분위기가 좋다,감성 소구,긍정적,분위기,,,5,-
1853,박보검을 잘 선택했고 기능을 잘 어필하고 있음,광고 구성,긍정적 평가,박보검|기능,,,5,-
7730,그냥 평범한 내용이라서,광고 임팩트,약한 임팩트,평범한 내용,,,3,부정적 주제 없음
3350,젊은 감각,타겟 적합성,젊은층 타겟,젊은 감각,,,4,-
9347,수지가 예쁨,모델,호감도 높음,수지|예쁨,,,4,-
