ID,Q15,Major Classification,Minor Classification,Positive topics,Negative topics,
1,별로 특별하지 않다,광고 전반,평범함,,특별하지 않음,
2,밝은 느낌이 드는 광고다,시각적 요소,긍정적 평가,밝은 느낌,,
3,평범,Not enough data,Not enough data,,,
4,모델이 어울린다,모델,호감도 높음,모델|어울림,,
5,모델과 광고 문구,모델,호감도 높음,모델|광고 문구,,
6,경쾌함,Not enough data,Not enough data,,,
7,네파 신발 신고있음,기타,,네파|신발,,
8,기억에 남는 특별함이 없다,광고 전반,기억에 남지 않음,,특별함|기억,
9,가볍고 산뜻한 느낌,감성 소구,긍정적,가벼움|산뜻함,,
10,밝은 분위기,시각적 요소,색감,밝은 분위기,,
11,크게 기억에 남는것이 없다,광고 전반,기억에 남지 않음,,기억,
12,모델이 싱그럽다,모델,호감도 높음,싱그러움,,
13,별 느낌이 없다,광고 전반,평범함,,느낌 없음,
14,착화감이 가볍고 좋다는게 느껴져서,기능성 강조,긍정적 평가,착화감|가벼움,,
15,인상 깊은 장면이 없어서,광고 임팩트,약한 임팩트,없음,인상 깊은 장면,
16,광고장면,없음/모름,,,,
17,광고모델이 상큼하다,모델,호감도 높음,상큼함,,
18,나와 관련이 없다,타겟 적합성,부정적,,관련성 부족,
19,모든 것이 좋음,전반적 평가,긍정적,모든 것,없음,
20,모델이 마음에 든다. 긍정적인 느낌이 강함,모델,호감도 높음,모델|긍정적 느낌,,
21,문구와 배경음악이 마음에 듭니다,감성 소구,긍정적,문구|배경음악,,
22,이쁘다 모델,모델,호감도 높음,모델|이쁘다,,
23,광고모델이랑 브랜드의 이미지가 잘 어울림,모델,긍정적 평가,모델|브랜드 이미지|어울림,,
24,모델,Not enough data,Not enough data,,,
25,젊음과 상쾌함잉 느껴짐,감성 소구,긍정적,젊음|상쾌함,,
26,모델,Not enough data,Not enough data,,,
27,경쾌한 음악도 좋았고 가볍게 걷는 모습이 생활속에서 편안함을 줄거 같아 좋은 느낌이었습니다,감성 소구,긍정적,음악|걷는 모습|편안함,,
28,잘 모르겠음,없음/모름,,,,
29,네파모델이 전지현에서 바뀌었구나라고 느꼈다,모델,호감도 낮음,모델 변경,,
